,Identificador,SMILES,Nombre,EGFR,MAPK1,SRC,STAT3,mean,BBB,Targets,peso_molecular,logP,donadores_H,aceptores_H,violaciones
374,CNP0294036.1,C/C(C=O)=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O,Lucialdehyde D,0.9572068,0.9319774,0.23,0.0790941662010193,0.5495695915502548,0.205,EGFR MAPK1,466.6620000000004,6.224300000000007,0.0,4.0,1.0
405,CNP0107633.1,CC(=O)O[C@@]1(C)[C@@H](O)CC[C@]2(C)C3CC/C(=C/C(=O)OCCN(C)C)[C@H](C)[C@@H]3C(=O)C[C@@H]12,,0.9680802,0.92460036,0.31,0.1269561159965314,0.5824091689991329,0.1083333333333333,EGFR MAPK1,449.58800000000025,2.7517000000000014,1.0,7.0,0.0
463,CNP0290792.1,C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O)CO,GANODERONE A,0.918121,0.9550885,0.25,0.1635763388297114,0.5716964597074278,0.165,EGFR MAPK1,454.6950000000003,6.838700000000007,1.0,3.0,1.0
493,CNP0221934.1,CC(C)=CCC[C@@H](C)[C@@H]1CC[C@]2(C)[C@H]3CCC(=C(C)C)[C@@H](CCCO)[C@]3(C)CC[C@@]12C,isohelianol,0.9522431,0.96201533,0.14,0.0550900154912912,0.5273371113728228,0.36,EGFR MAPK1,428.7450000000003,8.726700000000005,1.0,1.0,1.0
495,CNP0215962.1,CC[C@@]12CC[C@]3(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]3(C)[C@@H]1CC[C@@H]1[C@H]2CCC(=O)C1(C)C,,0.92972565,0.9468741,0.18,0.0223366090782987,0.5197340897695747,0.335,EGFR MAPK1,440.75600000000026,9.013200000000003,0.0,1.0,1.0
508,CNP0253686.1,C/C(=C\CCC(C)[C@@H]1CC[C@@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@H]1CC3=O)C(=O)O,,0.91106665,0.93368894,0.24,0.2651596639504684,0.5874788134876172,0.145,EGFR MAPK1,468.6780000000003,6.931000000000006,1.0,3.0,1.0
528,CNP0365280.1,C=C(/C=C/C=C(/CC)C1CC[C@@]2(C1OC)[C@H](CCCO)/C(=C(\C)C=O)CC[C@]2(C)O)CCC=C(C)C,,0.93115747,0.9278279,0.24,0.2284164348867739,0.5818504512216935,0.1433333333333333,EGFR MAPK1,498.7480000000004,7.04190000000001,2.0,4.0,1.0
535,CNP0356186.1,C[C@@H](CO)C1=C2[C@H]3C[C@H](O)C(COC(=O)C4=CC=CC=C4)=C[C@H](O)[C@]3(C)CC[C@@]2(CO)CC1,Scabronine L,0.9408421,0.9101203,0.255,0.11133791505286,0.554325078763215,0.04,EGFR MAPK1,456.5790000000003,3.009100000000002,4.0,6.0,0.0
560,CNP0189837.1,C[C@H](CC/C=C(\CO)C(=O)O)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C,27-hydroxymangiferonic acid,0.92572165,0.9393787,0.16,0.1733325163095118,0.549608216577378,0.0633333333333333,EGFR MAPK1,470.6940000000004,6.414200000000007,2.0,3.0,1.0
599,CNP0369887.1,C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@@H]3CC[C@]12C)CO,,0.91781425,0.94268644,0.22,0.0781066044973083,0.5396518236243271,0.185,EGFR MAPK1,440.71200000000033,7.51560000000001,1.0,2.0,1.0
660,CNP0226888.2,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,"(1R,3aS,5aR,5bR,7aR,8R,11aR,11bR,13aR,13bR)-8-(hydroxymethyl)-5a,5b,8,11a-tetramethyl-9-oxo-1-prop-1-en-2-yl-2,3,4,5,6,7,7a,10,11,11b,12,13,13a,13b-tetradecahydro-1H-cyclopenta[a]chrysene-3a-carboxylic acid",0.90462035,0.9231476,0.19,0.0327823381228448,0.5126375720307113,0.0633333333333333,EGFR MAPK1,470.69400000000036,6.270100000000007,2.0,3.0,1.0
666,CNP0231037.1,CC(C)=CCC[C@@H](C)[C@H]1C[C@H](C)[C@H]2[C@@H]3CC[C@H]4C(C)(C)CCC[C@@]45C[C@@]35CC[C@@]21C,,0.94703585,0.90197444,0.265,0.0503253431369585,0.5410839082842396,0.455,EGFR MAPK1,410.73000000000036,9.054000000000002,0.0,0.0,1.0
673,CNP0106258.1,C/C(=C\[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C)C(=O)O,,0.93128735,0.9162966,0.16,0.0903628396431527,0.5244866974107881,0.08,EGFR MAPK1,470.6940000000004,6.4126000000000065,2.0,3.0,1.0
680,CNP0141809.1,C=C(CO)[C@@H]1CC[C@@H]2[C@]3(CC[C@]4(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]24C)C[C@]13CCC(=O)O,secaubryenol,0.956182,0.92756104,0.12,0.1400646106545539,0.5359519126636384,0.1583333333333333,EGFR MAPK1,456.71100000000035,7.401300000000009,2.0,2.0,1.0
687,CNP0165771.1,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C1C[C@@]2(C(O)O1)[C@H](CCCO)/C(=C(/C)C=O)CC[C@]2(C)O,"(2Z)-2-[(5R,6S,10R)-1,6-dihydroxy-10-(3-hydroxypropyl)-6-methyl-3-[(1E,3E,5E)-2,6,10-trimethylundeca-1,3,5,9-tetraenyl]-2-oxaspiro[4.5]decan-9-ylidene]propanal",0.9501475,0.9344938,0.34,0.059497787870548,0.571034771967637,0.01,EGFR MAPK1,486.6930000000004,5.724200000000009,3.0,5.0,1.0
688,CNP0253207.1,C/C=C(\C)[C@H]1[C@@H](/C=C/C=C(\C)[C@@H](O)[C@@H](C)CO)[C@@H]2C[C@@H](O)[C@](C)(O)C[C@H]2[C@@H]2O[C@@]21C,fusarielin B,0.9456804,0.9035749,0.355,0.0732101657833851,0.5693663664458463,0.09,EGFR MAPK1,420.5900000000002,2.9860000000000015,4.0,5.0,0.0
758,CNP0127602.1,C/C(C=O)=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O,lucialdehyde B,0.9501415,0.92052615,0.2,0.0603141122705711,0.5327454405676428,0.165,EGFR MAPK1,452.6790000000003,7.045300000000008,0.0,3.0,1.0
760,CNP0274128.2,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C,CYCLOARTENONE,0.92622215,0.91634506,0.11,0.0942220520407306,0.5116973155101826,0.275,EGFR MAPK1,424.71300000000036,8.377100000000006,0.0,1.0,1.0
923,CNP0183289.1,C[C@H](C/C=C/C(C)(C)OO)[C@@H]1[C@@H](O)C[C@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,"Meliasenin J, rel-",0.9097809,0.90262455,0.19,0.0316055936780227,0.5085027609195056,0.12,EGFR MAPK1,472.71000000000043,6.982100000000008,2.0,4.0,1.0
961,CNP0214457.1,C[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC(C)(C)[C@@]1(O)/C=C/[C@@H](C)O,,0.90853804,0.90150255,0.265,0.0659483259851385,0.5352472289962846,0.0,EGFR MAPK1,390.4730000000001,-0.704299999999999,6.0,8.0,1.0
980,CNP0123737.1,CC[C@H](C=C[C@@H](C)[C@H]1CC2=C3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]2(C)C1)C(C)C,,0.93351597,0.9035104,0.265,0.0968683765687981,0.5497236866421995,0.31,EGFR MAPK1,412.7020000000003,7.944900000000009,1.0,1.0,1.0
1049,CNP0328909.1,C=C1CCC2[C@](C)(CCC[C@]2(C)C(=O)OC)[C@H]1CCC1=C(COC(=O)C2=CC=C(Cl)C=C2)OC=C1,STL562487,0.9440364,0.91260034,0.27,0.0302325154744544,0.5392173138686136,0.06,EGFR MAPK1,499.04700000000025,7.174500000000008,0.0,5.0,1.0
1075,CNP0095146.0,CC(CCC(O)C(C)(C)O)C1CCC2(C)C3=C(C(=O)CC12C)C1(C)CCC(=O)C(C)(C)C1CC3O,Compound NP-022408,0.93577623,0.91854817,0.295,0.0775235501466809,0.5567119875366702,0.0583333333333333,EGFR MAPK1,488.70900000000034,5.002700000000006,3.0,5.0,1.0
1076,CNP0086849.0,CC(CCC(O)C(C)(C)O)C1CCC2(C)C3=C(C(=O)CC12C)C1(C)CCC(=O)C(C)(C)C1CC3=O,Compound NP-022409,0.9461514,0.9011294,0.27,0.0980693766398359,0.553837544159959,0.215,EGFR MAPK1,486.6930000000004,5.210900000000006,2.0,5.0,1.0
1104,CNP0086723.1,CC(O)/C=C/C1(O)C(C)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)CC1(C)C,NCGC00384814-01,0.9201809,0.903147,0.23,0.0490266392776836,0.525588634819421,0.0,EGFR MAPK1,406.4720000000001,-1.7334999999999983,7.0,9.0,1.0
1115,CNP0237904.4,C/C(=C/CC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)C3CC[C@@]12C)C(=O)O,,0.92242855,0.9151587,0.23,0.1351909391203981,0.5506945472800995,0.185,EGFR MAPK1,454.69500000000033,7.607900000000009,1.0,2.0,1.0
1128,CNP0294449.1,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)[C@@H](C)[C@@H]1C[C@H]3O)C(C)C(=O)O,Camphoratin G,0.93467027,0.94038,0.295,0.0680113004901512,0.5595153926225378,0.184,EGFR MAPK1,470.65000000000026,5.367600000000006,2.0,4.0,1.0
1155,CNP0105445.1,C=C(C)C(C)C(O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O)C[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C,Combretanone F,0.9655665,0.907965,0.245,0.1266302806271118,0.561290445156778,0.16,EGFR MAPK1,470.73800000000045,6.564700000000008,2.0,3.0,1.0
1173,CNP0294449.2,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)[C@@H](C)[C@@H]1C[C@@H]3O)[C@H](C)C(=O)O,antcin C,0.93467027,0.94038,0.295,0.0680113004901512,0.5595153926225378,0.184,EGFR MAPK1,470.65000000000026,5.367600000000006,2.0,4.0,1.0
1194,CNP0085062.1,C[C@H](C[C@@H](O)[C@@H](O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O)C[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C,Combretanone A,0.9569241,0.9207403,0.175,0.1018919005295025,0.5386390751323756,0.13,EGFR MAPK1,490.7250000000004,4.484300000000004,4.0,5.0,0.0
1212,CNP0391514.0,CC1=C(CC(=O)NCCC2=CNC3=CC=C(Cl)C=C23)C(=O)OC2=CC3=C(C=C12)CCC(C)(C)O3,STL517333,0.94761777,0.9304822,0.25,0.1332264072501431,0.5653315943125358,0.2116666666666666,EGFR MAPK1,478.9760000000004,5.241120000000004,2.0,4.0,1.0
1218,CNP0154072.1,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(OC(=O)CCC(=O)NCC3=CC=CN=C3)CC[C@@H]12,AKOS032428593,0.92203164,0.918564,0.21,0.4773158734878048,0.6319778783719512,0.165,EGFR MAPK1,478.6330000000003,4.921700000000005,1.0,5.0,0.0
1261,CNP0256652.1,C=C1CC[C@H]([C@@H](C)COC(C)=O)[C@H]2C3OC(C[C@](C)(O)[C@@H](O)CC[C@@]3(C)OC(=O)CCC)[C@@H]12,hirsutalin H,0.9543534,0.92159194,0.18,0.0052049809082687,0.5152875802270672,0.05,EGFR MAPK1,466.6150000000003,3.549400000000002,2.0,7.0,0.0
1262,CNP0390305.1,C=C1CC[C@H]([C@@H](C)CO)[C@H]2C3OC(CC(=C)[C@@H](O)CC[C@@]3(C)OC(=O)C(CC)OC(C)=O)[C@@H]12,hirsutalin D,0.9264746,0.9212752,0.19,0.0049600080573414,0.5106774520143353,0.045,EGFR MAPK1,464.59900000000033,3.325400000000002,2.0,7.0,0.0
1282,CNP0257164.1,C=C1CC[C@H]([C@@H](C)CO)[C@H]2C3OC(CC(=C)[C@@H](O)CC[C@@]3(C)OC(=O)C(CC)OC(=O)CCC)[C@@H]12,hirsutalin C,0.9588947,0.93069994,0.23,0.0051933188808658,0.5311969897202165,0.03,EGFR MAPK1,492.6530000000004,4.1056000000000035,2.0,7.0,0.0
1346,CNP0331981.0,C=CC(C)(C=CC(C)CCC=C(C)CCC=C(C)C)CCC1C(=C)CCC(C)C1(C)C,,0.95410544,0.90222067,0.21,0.0436274362041964,0.5274883865510491,0.115,EGFR MAPK1,424.7570000000003,10.252599999999994,0.0,0.0,1.0
1369,CNP0397768.1,C[C@H](CCC(=O)NCC1CCCO1)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,AKOS024459180,0.946116,0.9096449,0.25,0.1544562422448824,0.5650542855612206,0.1183333333333333,EGFR MAPK1,475.71400000000034,4.688500000000004,3.0,4.0,0.0
1374,CNP0402073.0,COC1=C(C)C2=C(C(=O)OC2)C(O)=C1CC=C(C)CCC(=O)NC1CCOC(C)(C)C1,,0.92524403,0.9214531,0.21,0.0568816564916708,0.5283946966229177,0.0883333333333333,EGFR MAPK1,431.5290000000003,3.7224200000000023,2.0,6.0,0.0
1380,CNP0386746.1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/OCC(=O)NC(C)C5=CC=CC=C5)CC[C@]4(C)[C@H]3CC[C@@]21C,AKOS032430004,0.9625436,0.97467077,0.34,0.0906649575123974,0.5919698318780993,0.15,EGFR MAPK1,488.6720000000003,5.563500000000006,2.0,4.0,1.0
1382,CNP0319871.0,O=C(NC1CCCC2=C1NC1=C(Cl)C=CC=C21)C1=CC=C2C=CNC2=C1,"N-(8-CHLORO-2,3,4,9-TETRAHYDRO-1H-CARBAZOL-1-YL)-1H-INDOLE-6-CARBOXAMIDE",0.9258425,0.92329717,0.48,0.4276612161109593,0.6892002215277399,0.51,EGFR MAPK1,363.84800000000007,5.110000000000003,3.0,1.0,1.0
1387,CNP0400865.0,CC1=C(CCC(=O)NCC2=CC=CN=C2)C(=O)OC2=CC3=C(C=C12)CCC1(CCCCC1)O3,1435986-05-2,0.9380057,0.9292,0.19,0.2967664466579569,0.5884930366644892,0.265,EGFR MAPK1,446.5470000000005,4.7733200000000044,1.0,5.0,0.0
1403,CNP0329399.0,CCC(C)C=CC(C)(O)C1C(O)CC2C3CCC4=CC(=O)CCC4(C)C3CCC21CO,,0.9113413,0.9674605,0.255,0.0354778769841428,0.5423199192460357,0.145,EGFR MAPK1,430.6290000000003,4.431000000000005,3.0,4.0,0.0
1470,CNP0385796.1,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=NOCC(=O)NC(C(=O)O)C(C)CC)CC[C@]4(C)[C@H]3CC[C@@]21C,AKOS032429019,0.9468645,0.90280217,0.33,0.0103874101565706,0.5475135200391427,0.07,EGFR MAPK1,498.6640000000004,4.301600000000003,3.0,5.0,0.0
1497,CNP0238615.1,CC(C)=CCC/C(C)=C/C=C/C(C)=C/[C@@H]1C[C@@]23[C@H](OCCC[C@@H]2/C(=C(/C)C=O)CC[C@]3(C)O)O1,Anhydrobelachinal,0.9540793,0.95108527,0.31,0.1266476684982325,0.5854530596245581,0.205,EGFR MAPK1,468.6780000000004,6.769800000000009,1.0,4.0,1.0
1499,CNP0165771.2,CC(C)=CCC/C(C)=C/C=C/C(C)=C/[C@H]1C[C@]2([C@H](CCCO)/C(=C(/C)C=O)CC[C@]2(C)O)[C@@H](O)O1,,0.9501475,0.9344938,0.34,0.059497787870548,0.571034771967637,0.01,EGFR MAPK1,486.6930000000003,5.724200000000009,3.0,5.0,1.0
1500,CNP0139253.1,C/C(=C\CC[C@]1(C)CCC2=CC(O)=CC(C)=C2O1)C/C=C\[C@@H](C)C(=O)[C@H](O)CC(C)C,,0.96602416,0.94371223,0.39,0.0238686076209972,0.5809012494052493,0.249,EGFR MAPK1,428.6130000000002,6.069320000000007,2.0,4.0,1.0
1510,CNP0333924.1,C/C(=C\[C@H](O)C[C@H](C)[C@@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C)CO,,0.92149216,0.9257027,0.2,0.0462049590740475,0.523349954768512,0.145,EGFR MAPK1,456.71100000000035,6.486400000000008,2.0,3.0,1.0
1539,CNP0239210.1,C=C1CCC[C@@H]2[C@@](C)(C[C@@H](OC(C)=O)/C(=C/CO)COC(C)=O)[C@H](C)CC[C@@]12C,,0.93893546,0.9195562,0.13,0.2043752633736361,0.548216730843409,0.2166666666666666,EGFR MAPK1,406.5630000000003,4.588800000000004,1.0,5.0,0.0
1596,CNP0253686.2,C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O)C(=O)O,Ganoderic acid DM,0.91106665,0.93368894,0.24,0.2651596639504684,0.5874788134876172,0.145,EGFR MAPK1,468.6780000000003,6.931000000000006,1.0,3.0,1.0
1598,CNP0193551.1,C=C1C(=O)O[C@@H]2C[C@@H]3[C@]4(CC[C@]5(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]35C)C[C@]4(CCC(=O)OC)[C@H]12,Tubiferolide methyl ester,0.9433594,0.92217374,0.2133333333333333,0.0985486857826026,0.544353789778984,0.215,EGFR MAPK1,482.7050000000004,7.032700000000008,0.0,4.0,1.0
1623,CNP0198459.1,C/C(C=O)=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@H]1C[C@H]3O,,0.9438046,0.9386689,0.225,0.0395373989822082,0.5367527247455521,0.125,EGFR MAPK1,454.6950000000003,6.837100000000008,1.0,3.0,1.0
1655,CNP0106258.2,C/C(=C\[C@@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C)C(=O)O,,0.93128735,0.9162966,0.16,0.0903628396431527,0.5244866974107881,0.08,EGFR MAPK1,470.6940000000004,6.4126000000000065,2.0,3.0,1.0
1675,CNP0155390.1,CC(C)=CCC[C@]1(C)O[C@@H](/C(C)=C/CC[C@@]2(C)[C@H](CCCO)/C(=C(/C)C=O)CC[C@]2(C)O)C[C@H]1O,,0.91099167,0.90347487,0.255,0.1114756904319675,0.5452355576079919,0.05,EGFR MAPK1,490.7250000000004,5.823000000000008,3.0,5.0,1.0
1676,CNP0425614.1,C=C(C(=O)O)[C@@H](C)C(=O)C[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3,,0.92016613,0.92903763,0.23,0.0300424359940799,0.52731154899852,0.115,EGFR MAPK1,482.70500000000044,7.1770000000000085,1.0,3.0,1.0
1677,CNP0160919.1,C=C(C)[C@@H](OO)[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C,,0.97602445,0.9141667,0.17,0.0295217684551747,0.5224282296137936,0.1583333333333333,EGFR MAPK1,460.6990000000003,6.217700000000009,3.0,4.0,1.0
1680,CNP0160919.2,C=C(C)[C@H](OO)[C@@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C,,0.97602445,0.9141667,0.17,0.0295217684551747,0.5224282296137936,0.1583333333333333,EGFR MAPK1,460.6990000000003,6.217700000000009,3.0,4.0,1.0
1704,CNP0221934.2,CC(C)=CCC[C@@H](C)[C@@H]1CC[C@]2(C)[C@H]3CCC(=C(C)C)[C@@H](CCCO)[C@@]3(C)CC[C@@]12C,,0.9522431,0.96201533,0.14,0.0550900154912912,0.5273371113728228,0.36,EGFR MAPK1,428.7450000000003,8.726700000000005,1.0,1.0,1.0
1834,CNP0367018.1,CO[C@H]([C@@H](C)[C@H]1O[C@]1(C)C[C@@](C)(O)/C=C/C=C(\C)[C@H]1O[C@@H](CC(=O)O)CC[C@@H]1C)[C@@H](C)O,,0.9816792,0.9559174,0.302,0.0295165575927679,0.567278289398192,0.0183333333333333,EGFR MAPK1,454.60400000000027,3.4778000000000016,3.0,6.0,0.0
1931,CNP0238558.1,CC(C)=CC(=O)C[C@H](C)[C@@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,,0.9192675,0.9076635,0.24,0.0115343265442942,0.5196163316360736,0.235,EGFR MAPK1,438.69600000000037,7.72220000000001,0.0,2.0,1.0
1985,CNP0165771.3,CC(C)=CCC/C(C)=C/C=C/C(C)=C/[C@H]1C[C@]2([C@H](CCCO)/C(=C(\C)C=O)CC[C@]2(C)O)[C@@H](O)O1,,0.9501475,0.9344938,0.34,0.059497787870548,0.571034771967637,0.01,EGFR MAPK1,486.6930000000003,5.724200000000009,3.0,5.0,1.0
1990,CNP0320238.1,OC[C@H]1N[C@H]([C@@H](O)CCC[C@H]2CCC[C@@]3(CCCCO3)O2)[C@@H](O)[C@@H]1O,,0.97223186,0.91012335,0.2,0.0723766494872561,0.5386829648718141,0.0816666666666666,EGFR MAPK1,359.46299999999997,0.038000000000000145,5.0,7.0,0.0
2026,CNP0214457.2,C[C@H](O)/C=C/[C@@]1(O)[C@H](C)C[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)CC1(C)C,,0.90853804,0.90150255,0.265,0.0659483259851385,0.5352472289962846,0.0,EGFR MAPK1,390.47300000000007,-0.7042999999999999,6.0,8.0,1.0
2040,CNP0153873.1,C/C=C(\C)[C@@H]1[C@@H](/C=C\C=C(/C)C(=O)[C@@H](C)CO)[C@@H]2C[C@@H]3O[C@]3(C)C[C@H]2[C@@H]2O[C@]12C,,0.9053351,0.9014311,0.307,0.0861063305506342,0.5499681326376585,0.255,EGFR MAPK1,400.5590000000002,4.239800000000004,1.0,4.0,0.0
2086,CNP0140696.1,C=C1C(=O)O[C@@H]2C[C@@H]3[C@]4(CC[C@]5(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]35C)C[C@]4(CCC(=O)O)[C@H]12,Sootepin B,0.926094,0.9541077,0.225,0.1243446015912883,0.557386575397822,0.13,EGFR MAPK1,468.67800000000034,6.944300000000007,1.0,3.0,1.0
