Molecula,Afinidad_1,Afinidad_2,CNN afinity_1,CNN afinity_2,CNN_1,CNN_2,Ruta_1,Ruta_2,Target_1,Target_2,Targets
EGFR_MAPK1_241,-9.87481499,-11.6178999,8.03876495,8.19770145,0.538199961,0.469566584,Mejores_poses/bases_conjuntas/EGFR_MAPK1_241_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_241_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_252,-9.87683487,-10.8951521,7.23029709,7.75107193,0.239594221,0.193823248,Mejores_poses/bases_conjuntas/EGFR_MAPK1_252_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_252_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_264,-9.84556961,-10.3854036,7.85144997,7.81064034,0.815645218,0.817562878,Mejores_poses/bases_conjuntas/EGFR_MAPK1_264_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_264_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_296,-9.49269676,-10.1533518,8.28692627,7.50216532,0.729743779,0.463379711,Mejores_poses/bases_conjuntas/EGFR_MAPK1_296_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_296_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_42,-10.7622681,-10.3064327,8.58834743,8.39043522,0.70850265,0.634783149,Mejores_poses/bases_conjuntas/EGFR_MAPK1_42_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_42_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_440,-10.544467,-12.4440155,7.7851615,7.25952387,0.640210629,0.506494641,Mejores_poses/bases_conjuntas/EGFR_MAPK1_440_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_440_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_527,-9.29315853,-11.0230417,8.09280682,8.06292439,0.536364019,0.689840913,Mejores_poses/bases_conjuntas/EGFR_MAPK1_527_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_527_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_77,-9.86780834,-10.757802,7.09673738,7.02362204,0.492394686,0.434377879,Mejores_poses/bases_conjuntas/EGFR_MAPK1_77_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_77_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_779,-9.78394794,-10.6974659,7.09623718,6.96029615,0.385717601,0.258464158,Mejores_poses/bases_conjuntas/EGFR_MAPK1_779_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_779_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
EGFR_MAPK1_800,-9.68436909,-10.4569216,7.28955221,7.4426713,0.580464363,0.557901025,Mejores_poses/bases_conjuntas/EGFR_MAPK1_800_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_800_MAPK1.pdbqt,EGFR,MAPK1,EGFR_MAPK1
